book_id,title,author,genre,description
1,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,A young orphan named Harry discovers his magical heritage and attends Hogwarts School of Witchcraft and Wizardry.
2,Matilda,Roald Dahl,Children's Literature,Matilda is a bright young girl with extraordinary powers who contends with neglectful parents and a tyrannical headmistress.
3,Charlotte's Web,E.B. White,Children's Literature,"A pig named Wilbur is saved from certain death by a caring spider named Charlotte, who spins messages in her web."
4,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Fantasy,"Four siblings step through a wardrobe into a magical land called Narnia, ruled by an evil White Witch."
5,To Kill a Mockingbird,Harper Lee,Classic,"In a small Southern town, Scout Finch learns about justice and prejudice as her father defends a Black man wrongly accused of a crime."
6,1984,George Orwell,Dystopian,"A haunting tale of a totalitarian regime that uses surveillance and propaganda to control its citizens."
7,Pride and Prejudice,Jane Austen,Romance,"Elizabeth Bennet navigates love, society, and family expectations in 19th-century England."
8,The Hobbit,J.R.R. Tolkien,Fantasy,"Bilbo Baggins embarks on a quest to help dwarves reclaim their homeland and discovers his own courage."
9,The Catcher in the Rye,J.D. Salinger,Classic,"A young man named Holden Caulfield struggles with alienation and the phoniness of the adult world."
10,The Great Gatsby,F. Scott Fitzgerald,Classic,"A mysterious millionaire named Jay Gatsby pursues wealth and love in the Jazz Age, with tragic consequences."
